City,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,Surat Thani,TH,2020-02-24 05:05:33,9.14,99.33,106.0,58,20,10.29,few clouds,0.0,0.0
1,Butaritari,KI,2020-02-24 05:05:33,3.07,172.79,82.06,84,68,26.22,moderate rain,9.44,0.0
2,Lompoc,US,2020-02-24 05:05:33,34.64,-120.46,55.4,87,90,3.36,overcast clouds,0.0,0.0
3,Jumla,NP,2020-02-24 05:05:33,29.27,82.18,49.05,29,24,4.32,few clouds,0.0,0.0
4,Tiksi,RU,2020-02-24 05:05:34,71.69,128.87,-3.64,87,98,7.31,overcast clouds,0.0,0.0
5,Ushuaia,AR,2020-02-24 05:03:05,-54.8,-68.3,42.8,70,75,25.28,light intensity drizzle,0.0,0.0
6,Kavieng,PG,2020-02-24 05:05:34,-2.57,150.8,84.65,73,12,12.64,few clouds,0.0,0.0
7,Cape Town,ZA,2020-02-24 05:04:37,-33.93,18.42,64.0,63,0,14.99,clear sky,0.0,0.0
8,Provideniya,RU,2020-02-24 05:05:34,64.38,-173.3,-3.96,63,32,2.57,scattered clouds,0.0,0.0
9,Marsaxlokk,MT,2020-02-24 05:05:35,35.84,14.54,55.99,87,20,12.75,few clouds,0.0,0.0
10,Mar Del Plata,AR,2020-02-24 05:02:20,-38.0,-57.56,64.99,88,0,10.29,clear sky,0.0,0.0
11,Bossangoa,CF,2020-02-24 05:05:35,6.49,17.46,70.02,20,71,5.88,broken clouds,0.0,0.0
12,Alta Floresta,BR,2020-02-24 05:05:35,-9.88,-56.09,71.91,96,100,1.39,overcast clouds,0.0,0.0
13,Port Elizabeth,ZA,2020-02-24 05:05:35,-33.92,25.57,51.8,93,11,2.24,few clouds,0.0,0.0
14,Atuona,PF,2020-02-24 05:05:36,-9.8,-139.03,81.23,79,18,14.52,few clouds,0.0,0.0
15,Bluff,NZ,2020-02-24 05:04:39,-46.6,168.33,64.99,63,25,14.0,scattered clouds,0.0,0.0
16,Mataura,NZ,2020-02-24 05:05:36,-46.19,168.86,64.99,63,6,14.0,clear sky,0.0,0.0
17,Daru,PG,2020-02-24 05:05:36,-9.08,143.21,93.72,51,96,5.46,overcast clouds,0.0,0.0
18,New Norfolk,AU,2020-02-24 05:04:43,-42.78,147.06,72.0,56,75,12.75,broken clouds,0.0,0.0
19,Richards Bay,ZA,2020-02-24 05:05:37,-28.78,32.04,73.18,66,98,11.95,light rain,0.88,0.0
20,Rikitea,PF,2020-02-24 05:05:37,-23.12,-134.97,79.81,71,7,6.71,clear sky,0.0,0.0
21,Sonthofen,DE,2020-02-24 05:05:37,47.52,10.28,55.0,100,100,8.05,moderate rain,0.0,0.0
22,Puerto Ayora,EC,2020-02-24 05:04:30,-0.74,-90.35,78.01,100,88,4.68,overcast clouds,0.0,0.0
23,Santiago Del Estero,AR,2020-02-24 05:05:38,-27.8,-64.26,63.25,54,0,7.87,clear sky,0.0,0.0
24,Grand River South East,AR,2020-02-24 05:05:38,-27.8,-64.26,63.25,54,0,7.87,clear sky,0.0,0.0
25,Jamestown,US,2020-02-24 05:04:14,42.1,-79.24,44.6,41,1,11.41,clear sky,0.0,0.0
26,Mattru,SL,2020-02-24 05:05:38,7.62,-11.83,76.3,85,92,0.27,overcast clouds,0.0,0.0
27,San Cristobal,VE,2020-02-24 05:05:39,7.77,-72.22,78.8,74,75,0.47,broken clouds,0.0,0.0
28,Mackay,AU,2020-02-24 05:05:39,-21.15,149.2,82.99,78,90,8.05,overcast clouds,0.0,0.0
29,Hilo,US,2020-02-24 05:01:54,19.73,-155.09,75.2,69,20,6.93,few clouds,0.0,0.0
30,Belushya Guba,US,2020-02-24 05:01:54,19.73,-155.09,75.2,69,20,6.93,few clouds,0.0,0.0
31,Saskylakh,RU,2020-02-24 05:05:39,71.92,114.08,12.9,92,88,11.07,overcast clouds,0.0,0.0
32,Trairi,BR,2020-02-24 05:04:53,-3.28,-39.27,73.27,97,31,2.51,light rain,0.19,0.0
33,Edwardsville,US,2020-02-24 05:05:40,38.81,-89.95,48.99,81,90,6.93,overcast clouds,0.0,0.0
34,Hunza,US,2020-02-24 05:05:40,38.81,-89.95,48.99,81,90,6.93,overcast clouds,0.0,0.0
35,Geraldton,AU,2020-02-24 05:05:40,-28.77,114.6,82.4,65,0,14.99,light rain,0.63,0.0
36,Taolanaro,AU,2020-02-24 05:05:40,-28.77,114.6,82.4,65,0,14.99,light rain,0.0,0.0
37,Faanui,PF,2020-02-24 05:05:23,-16.48,-151.75,83.3,73,19,11.68,light rain,0.13,0.0
38,Anloga,GH,2020-02-24 05:05:41,5.79,0.9,84.2,83,40,6.93,scattered clouds,0.0,0.0
39,Manokwari,ID,2020-02-24 05:05:41,-0.87,134.08,76.26,84,98,1.63,light rain,1.06,0.0
40,Vestmannaeyjar,IS,2020-02-24 05:03:04,63.44,-20.27,40.24,64,100,21.09,light snow,0.0,1.19
41,Come,BJ,2020-02-24 05:05:42,6.41,1.88,84.2,83,40,9.17,scattered clouds,0.0,0.0
42,Lakselv,NO,2020-02-24 05:05:42,70.05,24.97,33.8,80,100,32.21,snow,0.0,3.87
43,Gizo,SB,2020-02-24 05:05:42,-8.1,156.84,81.34,80,47,4.41,light rain,0.38,0.0
44,Adrar,MR,2020-02-24 05:05:42,20.5,-10.07,74.61,12,100,15.75,overcast clouds,0.0,0.0
45,Vanimo,PG,2020-02-24 05:01:06,-2.67,141.3,83.3,79,67,12.97,broken clouds,0.0,0.0
46,Beringovskiy,RU,2020-02-24 05:05:43,63.05,179.32,-4.81,97,76,8.79,light snow,0.0,0.13
47,Busselton,AU,2020-02-24 05:05:43,-33.65,115.33,80.01,33,99,13.78,overcast clouds,0.0,0.0
48,Goderich,CA,2020-02-24 05:05:43,43.75,-81.72,42.01,70,0,10.96,clear sky,0.0,0.0
49,Maragogi,BR,2020-02-24 05:05:43,-9.01,-35.22,81.66,78,66,14.29,light rain,0.5,0.0
50,Ruidoso,US,2020-02-24 05:05:44,33.33,-105.67,51.8,55,1,12.75,clear sky,0.0,0.0
51,Yellowknife,CA,2020-02-24 05:05:44,62.46,-114.35,-9.4,69,5,8.05,clear sky,0.0,0.0
52,Balta,UA,2020-02-24 05:05:44,47.94,29.62,46.02,65,99,27.58,light rain,1.25,0.0
53,Lukulu,ZM,2020-02-24 05:05:44,-14.37,23.24,68.27,97,100,6.82,moderate rain,7.81,0.0
54,Sinnamary,GF,2020-02-24 05:05:45,5.38,-52.95,78.26,84,99,17.18,light rain,0.38,0.0
55,Ahuimanu,US,2020-02-24 05:05:45,21.44,-157.84,80.6,73,20,11.41,few clouds,0.0,0.0
56,Mys Shmidta,US,2020-02-24 05:05:45,21.44,-157.84,80.6,73,20,11.41,few clouds,0.0,0.0
57,Lagoa,PT,2020-02-24 05:05:45,39.05,-27.98,59.65,81,89,11.65,overcast clouds,0.0,0.0
58,Ixtapa,MX,2020-02-24 05:05:45,20.7,-105.2,73.0,94,5,2.24,clear sky,0.0,0.0
59,Airai,TL,2020-02-24 05:05:46,-8.93,125.41,79.25,69,58,1.83,light rain,2.19,0.0
60,Leshukonskoye,RU,2020-02-24 05:05:46,64.9,45.76,30.22,92,100,13.29,light snow,0.0,0.19
61,Punta Arenas,CL,2020-02-24 05:04:32,-53.15,-70.92,44.6,75,75,19.46,broken clouds,0.0,0.0
62,Ribeira Grande,PT,2020-02-24 05:05:46,38.52,-28.7,55.4,84,90,8.21,overcast clouds,0.0,0.0
63,Hobart,AU,2020-02-24 05:03:37,-42.88,147.33,72.0,56,75,12.75,broken clouds,0.0,0.0
64,Necochea,AR,2020-02-24 05:05:47,-38.55,-58.74,61.0,79,0,14.0,clear sky,0.0,0.0
65,Khatanga,RU,2020-02-24 05:04:39,71.97,102.5,20.1,89,100,18.43,light snow,0.0,0.5
66,Baijiantan,CN,2020-02-24 05:05:47,45.63,85.18,27.43,85,98,7.31,overcast clouds,0.0,0.0
67,Chodavaram,IN,2020-02-24 05:05:48,17.83,82.95,82.4,61,25,4.7,haze,0.0,0.0
68,Juneau,US,2020-02-24 05:05:48,58.3,-134.42,34.0,74,75,7.99,broken clouds,0.0,0.0
69,Walvis Bay,NA,2020-02-24 05:05:48,-22.96,14.51,64.4,88,47,10.29,scattered clouds,0.0,0.0
70,Maroua,CM,2020-02-24 05:05:48,10.59,14.32,65.8,25,0,10.56,clear sky,0.0,0.0
71,Iqaluit,CA,2020-02-24 05:05:48,63.75,-68.51,-25.01,67,40,4.99,scattered clouds,0.0,0.0
72,San Quintin,MX,2020-02-24 05:05:49,30.48,-115.95,56.64,88,20,11.18,few clouds,0.0,0.0
73,Mangrol,IN,2020-02-24 05:05:49,21.12,70.12,79.92,54,0,7.85,clear sky,0.0,0.0
74,Kamenka,RU,2020-02-24 05:05:49,51.32,42.77,34.0,98,87,5.01,overcast clouds,0.0,0.0
75,Oakham,GB,2020-02-24 05:05:49,52.67,-0.73,42.01,75,75,17.22,broken clouds,0.0,0.0
76,Fortuna,US,2020-02-24 05:05:50,40.6,-124.16,48.2,87,75,8.05,broken clouds,0.0,0.0
77,Nishihara,JP,2020-02-24 05:05:50,26.18,127.76,73.0,56,20,10.29,few clouds,0.0,0.0
78,Riyadh,SA,2020-02-24 05:02:47,24.69,46.72,66.2,72,40,3.36,scattered clouds,0.0,0.0
79,Farafangana,MG,2020-02-24 05:05:50,-22.82,47.83,79.84,84,48,11.61,scattered clouds,0.0,0.0
80,Longyearbyen,SJ,2020-02-24 05:05:50,78.22,15.64,-4.0,76,40,3.36,scattered clouds,0.0,0.0
