City,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,0,TH,106.0,few clouds,9.14,99.33,Tapee Hotel
1,1,KI,82.06,moderate rain,3.07,172.79,Isles Sunset Lodge
2,2,US,55.4,overcast clouds,34.64,-120.46,Holiday Inn Express Lompoc
3,3,NP,49.05,few clouds,29.27,82.18,Hotel Sundar Rara Karnali
4,4,RU,-3.64,overcast clouds,71.69,128.87,Arktika
5,5,AR,42.8,light intensity drizzle,-54.8,-68.3,Albatros Hotel
6,6,PG,84.65,few clouds,-2.57,150.8,Nusa Island Retreat
7,7,ZA,64.0,clear sky,-33.93,18.42,Southern Sun Waterfront Cape Town
8,8,RU,-3.96,scattered clouds,64.38,-173.3,
9,9,MT,55.99,few clouds,35.84,14.54,Water's Edge
10,10,AR,64.99,clear sky,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
11,11,CF,70.02,broken clouds,6.49,17.46,LA PERLE DE BOSTON
12,12,BR,71.91,overcast clouds,-9.88,-56.09,Floresta Amazonica Hotel
13,13,ZA,51.8,few clouds,-33.92,25.57,39 On Nile Guest House
14,14,PF,81.23,few clouds,-9.8,-139.03,Villa Enata
15,15,NZ,64.99,scattered clouds,-46.6,168.33,Bluff Homestead - Guesthouse & Campervan Park
16,16,NZ,64.99,clear sky,-46.19,168.86,Ellie's Villa
17,17,PG,93.72,overcast clouds,-9.08,143.21,New century hotel
18,18,AU,72.0,broken clouds,-42.78,147.06,The Shingles Riverside Cottages
19,19,ZA,73.18,light rain,-28.78,32.04,BON Hotel Waterfront Richards Bay
20,20,PF,79.81,clear sky,-23.12,-134.97,Pension Maro'i
21,21,DE,55.0,moderate rain,47.52,10.28,Allgäu Stern Hotel - Sonthofen
22,22,EC,78.01,overcast clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
23,23,AR,63.25,clear sky,-27.8,-64.26,Hotel Urbano
24,24,AR,63.25,clear sky,-27.8,-64.26,Hotel Urbano
25,25,US,44.6,clear sky,42.1,-79.24,Hampton Inn & Suites Jamestown
26,26,SL,76.3,overcast clouds,7.62,-11.83,Boima Gbondo's Compound
27,27,VE,78.8,broken clouds,7.77,-72.22,Pirineos
28,28,AU,82.99,overcast clouds,-21.15,149.2,International Lodge Motel
29,29,US,75.2,few clouds,19.73,-155.09,Hilo Hawaiian Hotel
30,30,US,75.2,few clouds,19.73,-155.09,Hilo Hawaiian Hotel
31,31,RU,12.9,overcast clouds,71.92,114.08,Saskylakh Aeroport
32,32,BR,73.27,light rain,-3.28,-39.27,Pousada Field Lilies - Trairi
33,33,US,48.99,overcast clouds,38.81,-89.95,Country Hearth Inn & Suites Edwardsville St. Louis
34,34,US,48.99,overcast clouds,38.81,-89.95,Country Hearth Inn & Suites Edwardsville St. Louis
35,35,AU,82.4,light rain,-28.77,114.6,Broadwater Mariner Resort
36,36,AU,82.4,light rain,-28.77,114.6,Broadwater Mariner Resort
37,37,PF,83.3,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
38,38,GH,84.2,scattered clouds,5.79,0.9,BeatzWave Studios
39,39,ID,76.26,light rain,-0.87,134.08,Swiss Belhotel Manokwari
40,40,IS,40.24,light snow,63.44,-20.27,Glamping & Camping
41,41,BJ,84.2,scattered clouds,6.41,1.88,MAGIC HOUSE
42,42,NO,33.8,snow,70.05,24.97,Lakselv Hotel
43,43,SB,81.34,light rain,-8.1,156.84,Imagination Island
44,44,MR,74.61,overcast clouds,20.5,-10.07,
45,45,PG,83.3,broken clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
46,46,RU,-4.81,light snow,63.05,179.32,Beringgorski
47,47,AU,80.01,overcast clouds,-33.65,115.33,Observatory Guest House
48,48,CA,42.01,clear sky,43.75,-81.72,Harmony Inn
49,49,BR,81.66,light rain,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
50,50,US,51.8,clear sky,33.33,-105.67,Inn of the Mountain Gods Resort & Casino
51,51,CA,-9.4,clear sky,62.46,-114.35,The Explorer Hotel
52,52,UA,46.02,light rain,47.94,29.62,
53,53,ZM,68.27,moderate rain,-14.37,23.24,Ruth Guest House
54,54,GF,78.26,light rain,5.38,-52.95,ALETHEIA Appartement Sinnamary
